timestamp,distance,strength,temperature
2024-12-02 17:14:00,15,1477,53.25
2024-12-02 17:14:01,15,1641,53.0
2024-12-02 17:14:01,17,1646,53.0
2024-12-02 17:14:01,21,2248,53.0
2024-12-02 17:14:01,27,2180,53.0
2024-12-02 17:14:01,36,1801,53.0
2024-12-02 17:14:01,44,1271,53.0
2024-12-02 17:14:01,55,4931,53.0
2024-12-02 17:14:01,233,1808,53.0
2024-12-02 17:14:01,248,2145,53.0
2024-12-02 17:14:01,248,2146,53.0
2024-12-02 17:14:02,248,2140,53.0
2024-12-02 17:14:02,248,2134,53.0
2024-12-02 17:14:02,247,2141,53.0
2024-12-02 17:14:02,248,2138,53.0
2024-12-02 17:14:02,248,2139,53.25
2024-12-02 17:14:02,248,2136,53.0
2024-12-02 17:14:02,248,2142,53.0
2024-12-02 17:14:02,248,2141,53.0
2024-12-02 17:14:02,247,2142,53.0
2024-12-02 17:14:03,247,2139,53.0
2024-12-02 17:14:03,74,2768,53.0
2024-12-02 17:14:03,54,5199,53.0
2024-12-02 17:14:03,43,7874,53.0
2024-12-02 17:14:03,34,9943,53.0
2024-12-02 17:14:03,24,1994,53.0
2024-12-02 17:14:03,19,1417,53.0
2024-12-02 17:14:03,15,1184,53.0
2024-12-02 17:14:03,14,1237,53.0
2024-12-02 17:14:03,13,1306,53.0
2024-12-02 17:14:04,15,1360,53.0
2024-12-02 17:14:04,18,1621,53.0
2024-12-02 17:14:04,22,2193,53.0
2024-12-02 17:14:04,31,2053,53.0
2024-12-02 17:14:04,40,1621,53.0
2024-12-02 17:14:04,50,5790,53.0
2024-12-02 17:14:04,62,4181,53.0
2024-12-02 17:14:04,247,2124,53.0
2024-12-02 17:14:04,248,2144,53.0
2024-12-02 17:14:04,248,2141,53.0
2024-12-02 17:14:05,248,2144,53.0
2024-12-02 17:14:05,248,2141,53.0
2024-12-02 17:14:05,248,2139,53.0
2024-12-02 17:14:05,248,2140,53.0
2024-12-02 17:14:05,248,2137,53.0
2024-12-02 17:14:05,248,2147,53.0
2024-12-02 17:14:05,247,2136,53.0
2024-12-02 17:14:05,248,2146,53.0
2024-12-02 17:14:05,248,2142,53.0
2024-12-02 17:14:06,67,3455,53.0
2024-12-02 17:14:06,53,5496,53.0
2024-12-02 17:14:06,43,7987,53.0
2024-12-02 17:14:06,33,10148,53.0
2024-12-02 17:14:06,23,1814,53.0
2024-12-02 17:14:06,19,1438,53.0
2024-12-02 17:14:06,17,1231,53.0
2024-12-02 17:14:06,15,1209,53.0
2024-12-02 17:14:06,15,1266,53.0
2024-12-02 17:14:06,16,1339,53.0
2024-12-02 17:14:07,18,1705,53.0
2024-12-02 17:14:07,22,2289,53.0
2024-12-02 17:14:07,31,2150,53.0
2024-12-02 17:14:07,50,5917,53.0
2024-12-02 17:14:07,61,3769,53.0
